index,Country,Total_Cases
1,USA,"30,043,662"
2,Brazil,"11,439,250"
3,India,"11,359,048"
4,Russia,"4,390,608"
5,United Kingdom,"4,253,820"
6,France,"4,045,319"
7,Italy,"3,201,838"
8,Spain,"3,183,704"
9,Turkey,"2,866,012"
10,Germany,"2,569,850"
11,Colombia,"2,299,082"
12,Argentina,"2,192,025"
13,Mexico,"2,163,875"
14,Poland,"1,906,632"
15,Iran,"1,746,953"
16,South Africa,"1,528,414"
17,Ukraine,"1,460,756"
18,Indonesia,"1,419,455"
19,Peru,"1,407,963"
20,Czechia,"1,399,078"
21,Netherlands,"1,151,218"
22,Canada,"906,201"
23,Chile,"885,379"
24,Romania,"859,709"
25,Israel,"818,154"
26,Portugal,"813,716"
27,Belgium,"805,321"
28,Iraq,"758,184"
29,Sweden,"712,527"
30,Philippines,"621,498"
31,Pakistan,"605,200"
32,Switzerland,"570,645"
33,Bangladesh,"557,395"
34,Hungary,"516,490"
35,Serbia,"512,051"
36,Austria,"493,568"
37,Morocco,"488,632"
38,Jordan,"469,000"
39,Japan,"445,585"
40,UAE,"426,397"
41,Lebanon,"415,362"
42,Saudi Arabia,"382,059"
43,Panama,"347,641"
44,Slovakia,"337,503"
45,Malaysia,"323,763"
46,Belarus,"302,323"
47,Ecuador,"300,666"
48,Bulgaria,"277,878"
49,Nepal,"275,231"
50,Georgia,"274,989"
51,Bolivia,"259,004"
52,Croatia,"251,045"
53,Dominican Republic,"245,616"
54,Tunisia,"241,257"
55,Azerbaijan,"240,295"
56,Ireland,"226,358"
57,Kazakhstan,"223,720"
58,Denmark,"220,459"
59,Greece,"219,521"
60,Palestine,"209,304"
61,Costa Rica,"209,093"
62,Kuwait,"208,460"
63,Lithuania,"205,385"
64,Moldova,"203,710"
65,Slovenia,"200,374"
66,Egypt,"190,280"
67,Guatemala,"182,679"
68,Paraguay,"179,072"
69,Armenia,"178,385"
70,Honduras,"177,832"
71,Ethiopia,"174,054"
72,Qatar,"170,252"
73,Nigeria,"160,537"
74,Oman,"146,867"
75,Venezuela,"145,379"
76,Libya,"144,993"
77,Bosnia and Herzegovina,"142,160"
78,Myanmar,"142,136"
79,Bahrain,"130,404"
80,Albania,"116,821"
81,Algeria,"115,143"
82,Kenya,"112,805"
83,North Macedonia,"112,107"
84,S. Korea,"95,635"
85,Latvia,"93,781"
86,China,"90,044"
87,Ghana,"87,762"
88,Sri Lanka,"87,600"
89,Kyrgyzstan,"86,850"
90,Estonia,"84,807"
91,Zambia,"84,474"
92,Montenegro,"83,165"
93,Uzbekistan,"80,567"
94,Norway,"79,800"
95,Uruguay,"70,133"
96,Finland,"66,869"
97,Mozambique,"64,296"
98,El Salvador,"62,086"
99,Cuba,"60,558"
100,Singapore,"60,105"
101,Luxembourg,"57,700"
102,Afghanistan,"55,972"
103,Namibia,"41,025"
104,Cameroon,"40,622"
105,Uganda,"40,544"
106,Cyprus,"39,277"
107,Ivory Coast,"37,304"
108,Senegal,"36,892"
109,Zimbabwe,"36,471"
110,Botswana,"34,098"
111,Malawi,"32,789"
112,Jamaica,"29,912"
113,Australia,"29,117"
114,Sudan,"28,984"
115,DRC,"26,938"
116,Thailand,"26,927"
117,Malta,"26,535"
118,Maldives,"21,476"
119,Madagascar,"21,356"
120,Angola,"21,323"
121,Rwanda,"20,143"
122,Mayotte,"18,642"
123,French Polynesia,"18,527"
124,Guinea,"17,742"
125,Mauritania,"17,424"
126,Eswatini,"17,234"
127,French Guiana,"16,764"
128,Gabon,"16,660"
129,Syria,"16,401"
130,Cabo Verde,"16,035"
131,Réunion,"13,801"
132,Tajikistan,"13,308"
133,Haiti,"12,632"
134,Belize,"12,370"
135,Burkina Faso,"12,350"
136,Hong Kong,"11,282"
137,Andorra,"11,228"
138,Guadeloupe,"10,614"
139,Lesotho,"10,530"
140,South Sudan,"9,429"
141,Congo,"9,329"
142,Guyana,"9,121"
143,Suriname,"9,022"
144,Somalia,"8,946"
145,Mali,"8,862"
146,Bahamas,"8,658"
147,Aruba,"8,376"
148,Togo,"7,953"
149,Trinidad and Tobago,"7,769"
150,Martinique,"6,928"
151,Equatorial Guinea,"6,562"
152,Nicaragua,"6,537"
153,Benin,"6,501"
154,Djibouti,"6,252"
155,Iceland,"6,072"
156,Curaçao,"5,051"
157,CAR,"5,023"
158,Gambia,"4,985"
159,Niger,"4,857"
160,Chad,"4,288"
161,Gibraltar,"4,263"
162,San Marino,"4,126"
163,Channel Islands,"4,043"
164,Saint Lucia,"3,989"
165,Mongolia,"3,961"
166,Sierra Leone,"3,937"
167,Comoros,"3,626"
168,Guinea-Bissau,"3,436"
169,Barbados,"3,404"
170,Seychelles,"3,173"
171,Eritrea,"3,038"
172,Yemen,"2,771"
173,Liechtenstein,"2,602"
174,Vietnam,"2,554"
175,Burundi,"2,441"
176,New Zealand,"2,423"
177,Turks and Caicos,"2,200"
178,Monaco,"2,106"
179,Sint Maarten,"2,082"
180,Sao Tome and Principe,"2,078"
181,Liberia,"2,030"
182,Papua New Guinea,"1,819"
183,St. Vincent Grenadines,"1,680"
184,Saint Martin,"1,602"
185,Cambodia,"1,305"
186,Isle of Man,"1,234"
187,Taiwan,985
188,Antigua and Barbuda,962
189,Bhutan,868
190,Mauritius,739
191,Bermuda,735
192,Caribbean Netherlands,732
193,Diamond Princess,712
194,St. Barth,712
195,Faeroe Islands,661
196,Tanzania,509
197,Cayman Islands,468
198,Brunei,199
199,Timor-Leste,178
200,Wallis and Futuna,178
201,Dominica,156
202,British Virgin Islands,153
203,Grenada,148
204,New Caledonia,91
205,Fiji,66
206,Falkland Islands,54
207,Macao,48
208,Laos,48
209,Saint Kitts and Nevis,43
210,Greenland,31
211,Vatican City,27
212,Saint Pierre Miquelon,24
213,Anguilla,21
214,Montserrat,20
215,Solomon Islands,18
216,Western Sahara,10
217,MS Zaandam,9
218,Marshall Islands,4
219,Samoa,3
220,Vanuatu,3
221,Micronesia,1
