Country,Population
USA,"332,357,370"
Brazil,"213,613,410"
India,"1,389,456,823"
Russia,"145,978,239"
United Kingdom,"68,134,973"
France,"65,374,481"
Italy,"60,399,580"
Spain,"46,767,447"
Turkey,"84,971,058"
Germany,"83,971,144"
Colombia,"51,260,588"
Argentina,"45,484,798"
Mexico,"129,876,205"
Poland,"37,817,594"
Iran,"84,740,884"
South Africa,"59,828,966"
Ukraine,"43,549,471"
Indonesia,"275,537,974"
Peru,"33,291,219"
Czechia,"10,722,872"
Netherlands,"17,161,376"
Canada,"37,972,814"
Chile,"19,230,588"
Romania,"19,147,654"
Israel,"9,197,590"
Portugal,"10,175,881"
Belgium,"11,624,850"
Iraq,"40,847,407"
Sweden,"10,143,210"
Philippines,"110,595,515"
Pakistan,"223,866,538"
Switzerland,"8,698,768"
Bangladesh,"165,832,413"
Hungary,"9,643,169"
Serbia,"8,712,705"
Austria,"9,042,267"
Morocco,"37,215,067"
Jordan,"10,273,699"
Japan,"126,205,207"
UAE,"9,973,566"
Lebanon,"6,804,019"
Saudi Arabia,"35,190,555"
Panama,"4,361,953"
Slovakia,"5,461,492"
Malaysia,"32,654,497"
Belarus,"9,447,148"
Ecuador,"17,829,222"
Bulgaria,"6,911,735"
Nepal,"29,500,464"
Georgia,"3,983,805"
Bolivia,"11,783,753"
Croatia,"4,087,509"
Dominican Republic,"10,923,691"
Tunisia,"11,904,751"
Azerbaijan,"10,202,871"
Ireland,"4,976,189"
Kazakhstan,"18,933,023"
Denmark,"5,806,453"
Greece,"10,387,359"
Palestine,"5,183,486"
Costa Rica,"5,126,537"
Kuwait,"4,314,467"
Lithuania,"2,695,566"
Moldova,"4,027,397"
Slovenia,"2,079,138"
Egypt,"103,673,178"
Guatemala,"18,145,481"
Paraguay,"7,193,506"
Armenia,"2,967,115"
Honduras,"10,014,035"
Ethiopia,"116,932,809"
Qatar,"2,807,805"
Nigeria,"209,672,681"
Oman,"5,196,406"
Venezuela,"28,379,499"
Libya,"6,936,272"
Bosnia and Herzegovina,"3,266,504"
Myanmar,"54,664,285"
Bahrain,"1,742,261"
Albania,"2,875,597"
Algeria,"44,400,501"
Kenya,"54,591,518"
North Macedonia,"2,083,314"
S. Korea,"51,300,047"
Latvia,"1,871,543"
China,"1,439,323,776"
Ghana,"31,522,372"
Sri Lanka,"21,475,960"
Kyrgyzstan,"6,598,944"
Estonia,"1,327,159"
Zambia,"18,739,391"
Montenegro,"628,122"
Uzbekistan,"33,806,384"
Norway,"5,450,802"
Uruguay,"3,482,141"
Finland,"5,546,739"
Mozambique,"31,859,957"
El Salvador,"6,509,056"
Cuba,"11,321,777"
Singapore,"5,882,426"
Luxembourg,"633,051"
Afghanistan,"39,535,314"
Namibia,"2,572,834"
Cameroon,"27,002,783"
Uganda,"46,736,384"
Cyprus,"1,213,489"
Ivory Coast,"26,829,979"
Senegal,"17,048,803"
Zimbabwe,"15,013,320"
Botswana,"2,384,539"
Malawi,"19,471,598"
Jamaica,"2,970,194"
Australia,"25,705,839"
Sudan,"44,557,767"
DRC,"91,438,769"
Thailand,"69,922,401"
Malta,"442,365"
Maldives,"547,152"
Madagascar,"28,183,057"
Angola,"33,570,916"
Rwanda,"13,174,242"
Mayotte,"277,368"
French Polynesia,"282,041"
Guinea,"13,378,828"
Mauritania,"4,734,107"
Eswatini,"1,168,531"
French Guiana,"304,032"
Gabon,"2,262,074"
Syria,"17,794,719"
Cabo Verde,"560,192"
Réunion,"899,769"
Tajikistan,"9,685,961"
Haiti,"11,499,262"
Belize,"402,637"
Burkina Faso,"21,299,097"
Hong Kong,"7,539,389"
Andorra,"77,351"
Guadeloupe,"400,172"
Lesotho,"2,154,091"
South Sudan,"11,285,074"
Congo,"5,612,018"
Guyana,"789,202"
Suriname,"590,295"
Somalia,"16,199,349"
Mali,"20,653,339"
Bahamas,"395,862"
Aruba,"107,083"
Togo,"8,412,992"
Trinidad and Tobago,"1,402,655"
Martinique,"375,061"
Equatorial Guinea,"1,434,724"
Nicaragua,"6,679,410"
Benin,"12,342,623"
Djibouti,"997,987"
Iceland,"342,788"
Curaçao,"164,562"
CAR,"4,888,056"
Gambia,"2,463,536"
Niger,"24,808,944"
Chad,"16,751,138"
Gibraltar,"33,684"
San Marino,"33,981"
Channel Islands,"174,980"
Saint Lucia,"184,213"
Mongolia,"3,314,959"
Sierra Leone,"8,089,417"
Comoros,"882,434"
Guinea-Bissau,"2,000,185"
Barbados,"287,621"
Seychelles,"98,772"
Eritrea,"3,580,551"
Yemen,"30,280,865"
Liechtenstein,"38,204"
Vietnam,"97,948,986"
Burundi,"12,135,040"
New Zealand,"5,002,100"
Turks and Caicos,"39,081"
Monaco,"39,436"
Sint Maarten,"43,215"
Sao Tome and Principe,"221,982"
Liberia,"5,139,939"
Papua New Guinea,"9,064,575"
St. Vincent Grenadines,"111,186"
Saint Martin,"39,124"
Cambodia,"16,879,858"
Isle of Man,"85,347"
Taiwan,"23,846,915"
Antigua and Barbuda,"98,494"
Bhutan,"777,524"
Mauritius,"1,273,244"
Bermuda,"62,117"
Caribbean Netherlands,"26,393"
St. Barth,"9,898"
Faeroe Islands,"48,993"
Tanzania,"60,908,521"
Cayman Islands,"66,259"
Brunei,"440,398"
Timor-Leste,"1,335,861"
Wallis and Futuna,"11,100"
Dominica,"72,111"
British Virgin Islands,"30,371"
Grenada,"112,887"
New Caledonia,"287,410"
Fiji,"900,976"
Falkland Islands,"3,550"
Macao,"655,491"
Laos,"7,348,948"
Saint Kitts and Nevis,"53,461"
Greenland,"56,839"
Vatican City,802
Saint Pierre Miquelon,"5,774"
Anguilla,"15,096"
Montserrat,"4,994"
Solomon Islands,"698,534"
Western Sahara,"607,496"
MS Zaandam,
Marshall Islands,"59,469"
Samoa,"199,334"
Vanuatu,"312,112"
Micronesia,"115,863"
