,Submission date,Month,region,Country,index,daily
0,2020-03-26,03-20,Africa,Zambia,0,0.0
114,2020-04-29,04-20,Africa,Nigeria,114,10.0
190,2020-05-26,05-20,Africa,SouthAfrica,190,2.0
792,2020-06-30,06-20,Africa,Mali,792,3.0
874,2020-07-31,07-20,Africa,DemocraticRepublicoftheCongo,874,6.0
890,2020-08-25,08-20,Africa,Egypt,890,16.0
1728,2020-09-30,09-20,Africa,SouthAfrica,1728,106.0
2485,2020-10-30,10-20,Africa,Senegal,2485,18.0
3011,2020-11-30,11-20,Africa,Senegal,3011,70.0
4281,2020-12-31,12-20,Africa,Reunion,4281,6.0
6053,2021-01-31,01-21,Africa,Reunion,6053,1.0
8101,2021-02-28,02-21,Africa,SouthAfrica,8101,21.0
11747,2021-03-31,03-21,Africa,Togo,11747,88.0
14800,2021-04-30,04-21,Africa,SouthAfrica,14800,123.0
21419,2021-05-31,05-21,Africa,SouthAfrica,21419,253.0
24455,2021-06-30,06-21,Africa,SouthAfrica,24455,422.0
29417,2021-07-31,07-21,Africa,SouthAfrica,29417,52.0
34449,2021-08-31,08-21,Africa,SouthAfrica,34449,397.0
42544,2021-09-30,09-21,Africa,Niger,42544,64.0
49374,2021-10-31,10-21,Africa,Benin,49374,189.0
56448,2021-11-30,11-21,Africa,Togo,56448,65.0
62856,2021-12-18,12-21,Africa,SouthAfrica,62856,496.0
