,Submission date,Month,region,Country,index,daily
1,2020-01-29,01-20,NorthAmerica,USA,1,1.0
47,2020-02-29,02-20,NorthAmerica,USA,47,1.0
229,2020-03-31,03-20,NorthAmerica,USA,229,16.0
3137,2020-04-30,04-20,NorthAmerica,Canada,3137,48.0
8302,2020-05-31,05-20,NorthAmerica,Canada,8302,7.0
17511,2020-06-30,06-20,NorthAmerica,USA,17511,1138.0
23912,2020-07-31,07-20,NorthAmerica,Canada,23912,53.0
30227,2020-08-31,08-20,NorthAmerica,USA,30227,48.0
42740,2020-09-30,09-20,NorthAmerica,USA,42740,1542.0
52858,2020-10-30,10-20,NorthAmerica,USA,52858,216.0
64745,2020-11-30,11-20,NorthAmerica,USA,64745,1594.0
89098,2020-12-31,12-20,NorthAmerica,USA,89098,830.0
131926,2021-01-31,01-21,NorthAmerica,USA,131926,260.0
195833,2021-02-28,02-21,NorthAmerica,USA,195833,117.0
306364,2021-03-31,03-21,NorthAmerica,USA,306364,1717.0
461017,2021-04-30,04-21,NorthAmerica,USA,461017,12120.0
616520,2021-05-31,05-21,NorthAmerica,USA,616520,3814.0
775174,2021-06-30,06-21,NorthAmerica,USA,775174,11532.0
896186,2021-07-31,07-21,NorthAmerica,USA,896186,972.0
1112441,2021-08-31,08-21,NorthAmerica,USA,1112441,14333.0
1388810,2021-09-30,09-21,NorthAmerica,USA,1388810,11645.0
1699963,2021-10-31,10-21,NorthAmerica,Canada,1699963,7731.0
2001347,2021-11-30,11-21,NorthAmerica,USA,2001347,10427.0
2243013,2021-12-18,12-21,NorthAmerica,Canada,2243013,9588.0
