,index,Country
0,USA,1958671
1,UnitedKingdom,1504435
2,Germany,308516
3,Denmark,259387
4,Canada,225860
5,Japan,180815
6,France,165992
7,Sweden,135172
8,Switzerland,98639
9,India,95696
10,Brazil,87089
11,Italy,85210
12,Spain,81129
13,Netherlands,80899
14,Turkey,75684
15,Austria,73248
16,Belgium,72184
17,Australia,48676
18,Ireland,45872
19,Mexico,41376
20,Slovenia,37361
21,Norway,36363
22,Poland,35133
23,Israel,33139
24,SouthAfrica,25662
25,SouthKorea,25510
26,Lithuania,24588
27,Portugal,23115
28,Finland,23013
29,Luxembourg,19242
30,CzechRepublic,18029
31,Chile,17069
32,Slovakia,16389
33,Croatia,12920
34,Philippines,12780
35,Greece,12741
36,Argentina,12369
37,Russia,11664
38,Peru,11437
39,Singapore,10687
40,Indonesia,10358
41,Bulgaria,10164
42,Iceland,9832
43,Colombia,9433
44,Thailand,9112
45,Romania,8125
46,Estonia,7889
47,Malaysia,6737
48,Latvia,6149
49,Kenya,5317
50,HongKong,5197
51,NewZealand,5070
52,Reunion,5034
53,PuertoRico,4952
54,Qatar,4414
55,Nigeria,3795
56,Bangladesh,3646
57,Ecuador,3589
58,PapuaNewGuinea,3588
59,Aruba,2984
60,Gibraltar,2789
61,UnitedArabEmirates,2633
62,Bahrain,2269
63,CostaRica,2178
64,SriLanka,2075
65,Vietnam,1940
66,Botswana,1901
67,Ghana,1901
68,Cambodia,1889
69,SintMaarten,1798
70,Pakistan,1619
71,Guatemala,1420
72,China,1365
73,Panama,1262
74,Jordan,1213
75,TrinidadandTobago,1198
76,SaudiArabia,1197
77,Iran,1176
78,Egypt,1125
79,Lebanon,1085
80,Zambia,1073
81,Cuba,1067
82,Angola,1055
83,FrenchGuiana,1044
84,Kosovo,950
85,Curacao,949
86,Gambia,948
87,Mozambique,927
88,Oman,899
89,Paraguay,887
90,Suriname,876
91,DemocraticRepublicoftheCongo,871
92,CanaryIslands,867
93,Bonaire,863
94,Martinique,833
95,Mayotte,825
96,Uganda,821
97,BosniaandHerzegovina,803
98,Malawi,792
99,Madagascar,789
100,Benin,778
101,Cyprus,762
102,NorthMacedonia,750
103,Uruguay,743
104,Senegal,739
105,Maldives,722
106,Zimbabwe,710
107,Rwanda,708
108,Georgia,661
109,Kazakhstan,625
110,Guadeloupe,620
111,Malta,617
112,BurkinaFaso,586
113,DominicanRepublic,568
114,Serbia,564
115,Cameroon,556
116,Morocco,553
117,Seychelles,543
118,Fiji,531
119,Ethiopia,524
120,U.S.VirginIslands,502
121,Ukraine,491
122,RepublicoftheCongo,450
123,Namibia,438
124,Hungary,435
125,Guam,416
126,Mauritius,386
127,Kuwait,380
128,Liechtenstein,369
129,Nepal,368
130,Djibouti,367
131,Togo,362
132,Timor-Leste,356
133,Montenegro,356
134,Belize,321
135,Gabon,316
136,Jamaica,312
137,Guinea,311
138,Iraq,298
139,Taiwan,267
140,ElSalvador,244
141,Coted'Ivoire,236
142,NorthernMarianaIslands,222
143,EquatorialGuinea,207
144,Venezuela,196
145,Bolivia,155
146,Brunei,149
147,Armenia,143
148,Tunisia,139
149,TheBahamas,133
150,Palestine,132
151,CentralAfricanRepublic,127
152,Moldova,125
153,Eswatini,123
154,Honduras,116
155,Sudan,116
156,Guinea-Bissau,112
157,Mongolia,108
158,Myanmar,106
159,Afghanistan,99
160,CaymanIslands,97
161,Haiti,95
162,FrenchPolynesia,90
163,AntiguaandBarbuda,90
164,Uzbekistan,90
165,SouthSudan,89
166,Monaco,84
167,Barbados,78
168,Liberia,77
169,Algeria,74
170,Mali,72
171,SaintLucia,71
172,Burundi,63
173,SierraLeone,61
174,Guyana,60
175,BritishVirginIslands,58
176,Crimea,57
177,Bermuda,55
178,Belarus,52
179,Albania,49
180,CaboVerde,47
181,Niger,43
182,FaroeIslands,42
183,SaintVincentandtheGrenadines,38
184,Somalia,37
185,Andorra,37
186,SaintKittsandNevis,29
187,Lesotho,23
188,Laos,23
189,Libya,22
190,Anguilla,21
191,Kyrgyzstan,20
192,Comoros,17
193,TurksandCaicosIslands,16
194,Azerbaijan,15
195,SaintBarthelemy,14
196,Grenada,12
197,SaintMartin,10
198,WallisandFutunaIslands,10
199,Montserrat,10
200,Chad,9
201,Dominica,9
202,SolomonIslands,6
203,SintEustatius,4
204,England,3
205,Vanuatu,2
206,Palau,2
207,SlovakRepublic,1
